"id","text","filename","language_name_glotto","iso639_3","mode","genre_broad","writing_system","comments","num.tokens","num.types","huni.chars","hrate.chars","ttr.chars","rm.chars"
7983,"Na nd mounmotrhu mrokfot inji wanyhato duka memoya nhai wom hefenr tohyuk frohrn o bbinysoft tohyuk frohrn o yiro Maringour tohyuk frohrn nd skrorkfot yak nyusakuhato yiro mrokfom htikfot","amp_nfi_1.txt","Alamblak","amp","written","non-fiction","Latn","The first two digits of the identifier refer to the book, the next three digits to the chapter, and the last three digits to the verse. See Mayer & Cysouw (2014) for a list of book identifiers.",187,22,3.95493200562727,2.40020146830513,0.117647058823529,0.00537634408602151
20443,"Setxi itaritxiakori aua mitxi ĩkorapokoriti  Apia kiomanetakari ĩtaniriuata  Meenetipanika ipina","apu_nfi_1.txt","Apurinã","apu","written","non-fiction","Latn","The first two digits of the identifier refer to the book, the next three digits to the chapter, and the last three digits to the verse. See Mayer & Cysouw (2014) for a list of book identifiers.",96,17,3.61779124330232,2.4363224177479,0.177083333333333,0.0315789473684211
309901,"Baina ezdeus batekin ezkondu zinen","eus_nfi_316.txt","Basque","eus","written","non-fiction","Latn",NA,34,14,3.57322921021022,2.36555654772058,0.411764705882353,0
137860,"Ez dago gainazalik","eus_nfi_149.txt","Basque","eus","written","non-fiction","Latn",NA,18,11,3.28103611255342,2.22280709588231,0.611111111111111,0
410735,"Moundsvilleko matrikuladun kotxea darabilzu","eus_nfi_431.txt","Basque","eus","written","non-fiction","Latn",NA,43,19,4.04523968527758,2.69218454328231,0.441860465116279,0.0238095238095238
393591,"Ez duzu sinistuko baina berak asko maite zuen zure ama","eus_nfi_413.txt","Basque","eus","written","non-fiction","Latn",NA,54,16,3.75386690126882,2.48122993039785,0.296296296296296,0
169022,"Nire errezeta pertsonala da","eus_nfi_174.txt","Basque","eus","written","non-fiction","Latn",NA,27,14,3.48212720673383,2.4607865346768,0.518518518518518,0.0384615384615385
128504,"Ez nago harrotuta konbentzituta baizik","eus_nfi_143.txt","Basque","eus","written","non-fiction","Latn",NA,38,15,3.71532669877181,2.38463794706142,0.394736842105263,0.027027027027027
78205,"Profeta bezala mintzo direnei dagokienez  mintza daitezela bi edo hiru  eta gainerakoek eman dezatela beren iritzia","eus_nfi_1.txt","Basque","eus","written","non-fiction","Latn","The first two digits of the identifier refer to the book, the next three digits to the chapter, and the last three digits to the verse. See Mayer & Cysouw (2014) for a list of book identifiers.",115,19,3.76723513924841,2.50521046590516,0.165217391304348,0.0175438596491228
84588,"Ez duzu zure jabetza gisa ikusten","eus_nfi_102.txt","Basque","eus","written","non-fiction","Latn",NA,33,16,3.73774516545652,2.62663976351848,0.484848484848485,0
97841,"Eta hamar bat ofizialen bizitza salbatu zuen besteak beste nire alabarena","eus_nfi_117.txt","Basque","eus","written","non-fiction","Latn",NA,73,18,3.72107318525962,2.48989693394696,0.246575342465753,0
568423,"Garaitua izan zara","eus_nfi_609.txt","Basque","eus","written","non-fiction","Latn",NA,18,9,2.86382639009082,1.90199300528417,0.5,0
254956,"Baduzu Goerten berririk","eus_nfi_261.txt","Basque","eus","written","non-fiction","Latn",NA,23,15,3.7081320646586,2.48977041746505,0.652173913043478,0.0454545454545455
122619,"Amesgaiztoak izango ditut","eus_nfi_138.txt","Basque","eus","written","non-fiction","Latn",NA,25,15,3.75326968951511,2.49107202799704,0.6,0
